model,person,n_seeds,recall_mean,recall_sd
Model_A,person077,3,0.21794871794871795,0.09486313196762014
Model_A,person078,3,0.25,0.05087983290508828
Model_A,person079,3,0.4871794871794872,0.1126820245592753
Model_A,person080,3,0.08333333333333333,0.011102889792108188
Model_A,person081,3,0.1346153846153846,0.019230769230769235
Model_A,person082,3,0.10256410256410257,0.04441155916843276
Model_A,person083,3,0.08333333333333333,0.011102889792108188
Model_A,person084,3,0.10256410256410257,0.029375485224075893
Model_A,person085,3,0.10256410256410257,0.029375485224075897
Model_A,person086,3,0.26282051282051283,0.04441155916843273
Model_A,person087,3,0.3333333333333333,0.09679274917013779
Model_A,person088,3,0.16666666666666666,0.15544045708951462
Model_A,person089,3,0.15384615384615385,0.05769230769230769
Model_A,person090,3,0.20512820512820515,0.011102889792108175
Model_A,person091,3,0.16025641025641027,0.011102889792108182
Model_A,person092,3,0.21153846153846154,0.09992600812897369
Model_A,person093,3,0.3846153846153846,0.16430776433302943
Model_A,person094,3,0.09615384615384616,0.019230769230769235
Model_A,person095,3,0.4166666666666667,0.15424627455789694
Model_A,person096,3,0.15384615384615385,0.0
Model_A,person097,3,0.3653846153846154,0.06933752452815364
Model_A,person098,3,0.09615384615384615,0.033308669376324554
Model_A,person099,3,0.16666666666666666,0.12363654821785842
Model_A,person100,3,0.17307692307692304,0.10175966581017654
Model_A,person101,3,0.09615384615384615,0.033308669376324554
Model_A,person102,3,0.1923076923076923,0.09992600812897369
Model_A,person103,3,0.08333333333333333,0.011102889792108188
Model_A,person104,3,0.12179487179487179,0.022205779584216365
Model_A,person105,3,0.11538461538461538,0.019230769230769225
Model_A,person106,3,0.17307692307692304,0.03846153846153846
Model_A,person107,3,0.14102564102564105,0.05875097044815179
Model_A,person108,3,0.07692307692307693,0.0
Model_A,person109,3,0.3525641025641026,0.061818274108929185
Model_A,person110,3,0.15384615384615385,0.0
Model_A,person111,3,0.25,0.12009611535381536
Model_A,person112,3,0.3397435897435897,0.12804477150921909
Model_A,person113,3,0.16025641025641027,0.05875097044815178
Model_A,person114,3,0.2371794871794872,0.04839637458506888
Model_A,person115,3,0.2948717948717949,0.040032038451271776
Model_A,person116,3,0.1217948717948718,0.0777202285447573
Model_A,person117,3,0.1794871794871795,0.0293754852240759
Model_A,person118,3,0.30128205128205127,0.05875097044815179
Model_A,person119,3,0.4679487179487179,0.1635557797714497
Model_A,person120,3,0.10897435897435898,0.029375485224075893
Model_A,person121,3,0.1217948717948718,0.04003203845127178
Model_A,person122,3,0.1346153846153846,0.038461538461538464
Model_A,person123,3,0.3461538461538461,0.06933752452815363
Model_A,person124,3,0.2435897435897436,0.05551444896054095
Model_A,person125,3,0.14102564102564105,0.08006407690254358
Model_A,person126,3,0.6410256410256411,0.14175220761215368
Model_A,person127,3,0.1217948717948718,0.07772022854475731
Model_A,person128,3,0.10256410256410257,0.02937548522407589
Model_A,person129,3,0.14102564102564102,0.029375485224075886
Model_A,person130,3,0.2435897435897436,0.08671634140044025
Model_A,person131,3,0.2948717948717949,0.0587509704481518
Model_A,person132,3,0.16025641025641027,0.08671634140044027
Model_A,person133,3,0.11538461538461538,0.03330866937632457
Model_A,person134,3,0.3333333333333333,0.09486313196762013
Model_A,person135,3,0.14743589743589744,0.02937548522407589
Model_A,person136,3,0.07692307692307693,0.0
Model_A,person137,3,0.14102564102564102,0.04839637458506891
Model_A,person138,3,0.14102564102564105,0.05875097044815179
Model_A,person139,3,0.4166666666666667,0.011102889792108203
Model_A,person140,3,0.20512820512820515,0.08006407690254357
Model_A,person141,3,0.24358974358974358,0.029375485224075897
Model_A,person142,3,0.1987179487179487,0.05551444896054095
Model_A,person143,3,0.08974358974358976,0.022205779584216375
Model_A,person144,3,0.08974358974358976,0.011102889792108188
Model_A,person145,3,0.14743589743589744,0.061818274108929205
Model_A,person146,3,0.07692307692307693,0.0
Model_A,person147,3,0.10897435897435898,0.029375485224075893
Model_A,person148,3,0.08333333333333333,0.011102889792108188
Model_A,person149,3,0.12820512820512822,0.04003203845127177
Model_A,person150,3,0.1217948717948718,0.0777202285447573
Model_A,person151,3,0.1346153846153846,0.050879832905088275
Model_A,person152,3,0.07692307692307693,0.0
Model_A,person153,3,0.08974358974358976,0.022205779584216375
Model_B,person001,3,0.9423076923076924,0.019230769230769176
Model_B,person002,3,0.75,0.05087983290508829
Model_B,person003,3,0.923076923076923,0.06661733875264914
Model_B,person004,3,0.8717948717948718,0.07280651725384972
Model_B,person005,3,0.826923076923077,0.019230769230769176
Model_B,person006,3,0.9166666666666666,0.01110288979210823
Model_B,person007,3,0.8525641025641025,0.01110288979210826
Model_B,person008,3,0.9935897435897436,0.01110288979210823
Model_B,person009,3,0.75,0.019230769230769273
Model_B,person010,3,0.9038461538461539,0.0
Model_B,person011,3,0.8782051282051282,0.06753624200546625
Model_B,person012,3,0.8397435897435898,0.040032038451271776
Model_B,person013,3,0.8974358974358975,0.04003203845127175
Model_B,person014,3,0.858974358974359,0.04839637458506887
Model_B,person015,3,0.9423076923076922,0.038461538461538436
Model_B,person016,3,0.826923076923077,0.038461538461538464
Model_B,person017,3,0.9743589743589743,0.029375485224075903
Model_B,person018,3,0.8525641025641025,0.01110288979210823
Model_B,person019,3,0.891025641025641,0.06753624200546633
Model_B,person020,3,0.923076923076923,0.0
Model_B,person021,3,0.8782051282051282,0.11750194089630356
Model_B,person022,3,0.8910256410256411,0.055514448960541016
Model_B,person023,3,0.891025641025641,0.09486313196762015
Model_B,person024,3,0.9615384615384616,0.033308669376324526
Model_B,person025,3,0.75,0.05769230769230771
